"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_M-HER013","SAMEA14369679","ERR9709213","Clupea harengus","M-HER013",20490731408,"ERS11963907","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER014","SAMEA14369680","ERR9709214","Clupea harengus","M-HER014",15801453588,"ERS11963908","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER015","SAMEA14369681","ERR9709215","Clupea harengus","M-HER015",14943773286,"ERS11963909","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER016","SAMEA14369682","ERR9709216","Clupea harengus","M-HER016",17054693188,"ERS11963910","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER017","SAMEA14369683","ERR9709217","Clupea harengus","M-HER017",17350278406,"ERS11963911","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER018","SAMEA14369684","ERR9709218","Clupea harengus","M-HER018",15100581652,"ERS11963912","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER019","SAMEA14369685","ERR9709219","Clupea harengus","M-HER019",13004662694,"ERS11963913","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010"
"BAL_22_M-HER020","SAMEA14369686","ERR9709220","Clupea harengus","M-HER020",11510357634,"ERS11963914","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010"
"BAL_22_M-HER021","SAMEA14369687","ERR9709221","Clupea harengus","M-HER021",21312931240,"ERS11963915","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010"
"BAL_22_M-HER022","SAMEA14369688","ERR9709222","Clupea harengus","M-HER022",17725051648,"ERS11963916","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010"
"BAL_22_M-HER023","SAMEA14369689","ERR9709223","Clupea harengus","M-HER023",18301398112,"ERS11963917","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010"
"BAL_22_M-HER024","SAMEA14369690","ERR9709224","Clupea harengus","M-HER024",15155926474,"ERS11963918","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010"
"BAL_22_M-HER025","SAMEA14369691","ERR9709225","Clupea harengus","M-HER025",21165140292,"ERS11963919","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER026","SAMEA14369692","ERR9709226","Clupea harengus","M-HER026",15449552014,"ERS11963920","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER027","SAMEA14369693","ERR9709227","Clupea harengus","M-HER027",16062695366,"ERS11963921","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER028","SAMEA14369694","ERR9709228","Clupea harengus","M-HER028",14403640548,"ERS11963922","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER029","SAMEA14369695","ERR9709229","Clupea harengus","M-HER029",13836387002,"ERS11963923","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER030","SAMEA14369696","ERR9709230","Clupea harengus","M-HER030",22224888190,"ERS11963924","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER034","SAMEA14369697","ERR9709231","Clupea harengus","M-HER034",18161716770,"ERS11963925","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
