sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN20114596	SRR15068303	Clupea pallasii	HWS-24_rg1	36530416488	HWS-24	Model organism or animal sample from Clupea pallasii
SAMN20114592	SRR15068307	Clupea pallasii	HWS-34_rg1	46944814008	HWS-34	Model organism or animal sample from Clupea pallasii
SAMN33225855	SRR23440841	Clupea pallasii	Herring_761	2135933656	Herring_761	Model organism or animal sample from Clupea pallasii
SAMN33225853	SRR23440843	Clupea pallasii	Herring_759	2020147460	Herring_759	Model organism or animal sample from Clupea pallasii
SAMN33225852	SRR23440844	Clupea pallasii	Herring_758	1306845204	Herring_758	Model organism or animal sample from Clupea pallasii
SAMN33225851	SRR23440845	Clupea pallasii	Herring_757	2206634876	Herring_757	Model organism or animal sample from Clupea pallasii
SAMN33225880	SRR23440853	Clupea pallasii	Herring_787	2601382700	Herring_787	Model organism or animal sample from Clupea pallasii
SAMN33225878	SRR23440855	Clupea pallasii	Herring_785	1424137474	Herring_785	Model organism or animal sample from Clupea pallasii
SAMN33225877	SRR23440856	Clupea pallasii	Herring_784	1661744430	Herring_784	Model organism or animal sample from Clupea pallasii
SAMN33225876	SRR23440857	Clupea pallasii	Herring_783	532924602	Herring_783	Model organism or animal sample from Clupea pallasii
SAMN33225872	SRR23440862	Clupea pallasii	Herring_779	2035651234	Herring_779	Model organism or animal sample from Clupea pallasii
SAMN33225871	SRR23440863	Clupea pallasii	Herring_778	2090687110	Herring_778	Model organism or animal sample from Clupea pallasii
SAMN33225870	SRR23440864	Clupea pallasii	Herring_777	1365256232	Herring_777	Model organism or animal sample from Clupea pallasii
SAMN33225861	SRR23440874	Clupea pallasii	Herring_768	1287869336	Herring_768	Model organism or animal sample from Clupea pallasii
SAMN33225858	SRR23440877	Clupea pallasii	Herring_765	2990258436	Herring_765	Model organism or animal sample from Clupea pallasii
SAMN33225857	SRR23440878	Clupea pallasii	Herring_763	4563852388	Herring_763	Model organism or animal sample from Clupea pallasii
SAMN34152192	SRR24138610	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg2	3493798801	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152196	SRR24138615	Clupea harengus	PN3_CentralBaltic_Baltic_Spring_rg4	2548838257	PN3_CentralBaltic_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152196	SRR24138616	Clupea harengus	PN3_CentralBaltic_Baltic_Spring_rg3	2529661489	PN3_CentralBaltic_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152206	SRR24138618	Clupea harengus	AM27_Norway_Atlantic_Spring_rg3	2812031600	AM27_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138622	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg9	3710031082	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138624	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg7	3155105638	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152206	SRR24138629	Clupea harengus	AM27_Norway_Atlantic_Spring_rg2	2954368200	AM27_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138632	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg11	3615992410	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152189	SRR24138634	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg9	3278195955	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152189	SRR24138635	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg8	2766874168	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152189	SRR24138636	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg7	2763099580	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152189	SRR24138638	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg5	2797380326	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152216	SRR24138641	Clupea harengus	BM16_HastKar_Baltic_Spring_rg1	2263056200	BM16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152215	SRR24138645	Clupea harengus	BM15_HastKar_Baltic_Spring_rg3	2627729400	BM15_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
